URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,target
32.0,24.0,0.0,3.0,1.0,0.0,0.0,0.0,27.0,0.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,1.0,0
24.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,18.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0
30.0,22.0,0.0,5.0,1.0,0.0,0.0,0.0,24.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0
27.0,19.0,0.0,3.0,1.0,0.0,0.0,0.0,22.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,1.0,0
34.0,26.0,0.0,3.0,1.0,0.0,0.0,0.0,29.0,0.8529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,1.0,0
31.0,23.0,0.0,3.0,1.0,0.0,0.0,0.0,26.0,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,1.0,0
26.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,21.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,1.0,0
30.0,22.0,0.0,2.0,1.0,0.0,0.0,0.0,25.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0
19.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,14.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,1.0,0
23.0,16.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,1
28.0,20.0,0.0,3.0,1.0,0.0,0.0,0.0,23.0,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,1.0,0
21.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,14.0,0.6666666666666666,2.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.23809523809523808,1.0,0
25.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,20.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0
21.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,16.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,1.0,0
22.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,17.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,1.0,0
22.0,14.0,0.0,3.0,1.0,0.0,0.0,0.0,17.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,1.0,0
23.0,15.0,0.0,6.0,1.0,0.0,0.0,0.0,17.0,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,1.0,0
27.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,14.0,0.5185185185185185,7.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,1
24.0,17.0,0.0,2.0,1.0,0.0,0.0,0.0,19.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,1
29.0,21.0,0.0,3.0,1.0,0.0,0.0,0.0,24.0,0.8275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,1.0,0
34.0,26.0,0.0,5.0,2.0,0.0,0.0,0.0,27.0,0.7941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,1.0,0
37.0,29.0,0.0,4.0,1.0,0.0,0.0,0.0,32.0,0.8648648648648649,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,1.0,0
38.0,29.0,0.0,3.0,1.0,0.0,0.0,0.0,31.0,0.8157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1
33.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0,0.7272727272727273,2.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.21212121212121213,0.0,1
27.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,0.5925925925925926,4.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.25925925925925924,1.0,1
92.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,75.0,0.8152173913043478,7.0,0.07608695652173914,1.0,1.0,0.0,1.0,0.10869565217391304,1.0,1
40.0,32.0,0.0,3.0,1.0,0.0,0.0,0.0,20.0,0.5,12.0,0.3,0.0,0.0,0.0,0.0,0.2,0.0,1
35.0,26.0,0.0,3.0,1.0,0.0,0.0,0.0,27.0,0.7714285714285715,2.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.17142857142857143,1.0,1
24.0,16.0,0.0,5.0,1.0,0.0,0.0,0.0,18.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0
33.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,28.0,0.8484848484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,1.0,0
20.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,15.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1
20.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0
28.0,21.0,0.0,3.0,1.0,0.0,0.0,0.0,23.0,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.0,1
28.0,21.0,0.0,4.0,2.0,0.0,0.0,0.0,22.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,1
33.0,24.0,0.0,3.0,1.0,0.0,0.0,0.0,24.0,0.7272727272727273,2.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.21212121212121213,1.0,1
42.0,33.0,0.0,3.0,1.0,0.0,0.0,0.0,30.0,0.7142857142857143,3.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.21428571428571427,1.0,1
